titles,intros,genres
선독점살수전설,,무협
선독점청해진주식회사,혼란스러운당나라중기장보고의몸으로깨어났다,대체역사
선독점미친빌런이정신을되찾음,미쳤었던재앙급빌런의회귀,판타지현대판타지
선독점동창의절정고수,복수를향해다가가는동창의대당두원수는해방삼위의군사를몰아조선을치려한다,무협대체역사
선독점내스텟이너무많음,서진은냄새를맡을수있다운의냄새를뭔가냄새가나운빨망겜도그에겐그저운빨갓겜일뿐이다,퓨전게임
나혼자세이브모드,까짓거한번해보지뭐될때까지하면되잖아,판타지현대판타지
선독점급헌터는세계수를심는다,멸망한세상에서지구로돌아온귀환자급헌터가되어세계수를심는다,판타지현대판타지
선독점회차의사는성공한다,금수저와이프에게이혼당한의사회귀트럭에치여인생회차를시작하다,판타지현대판타지
필스타인가가주의회귀,로제스타의황제인내가어째서자네를두려워하고자네를시기해야하는거지필스타인가문의가주이자어쌔신마스터인로안은타락한황제에그베르트의배신으로비참한최후를맞이하게된다마지막순간연인에밀리아가선물해준목걸이가빛을발한다그리고년전의과거로돌아온로안은아버지윌리안을비롯한소중한이들과차례대로재회하게되고다시한번더살아갈기회를얻은그는이전의삶과달리소중한것들모두를지키겠노라고결심한다전부바꿔버리겠어,퓨전판타지
선독점방출새로운시작,방출과함께일어난기적이불러온새로운미래,스포츠현대판타지
선독점이세계에서성자로살아남기,정신차리고보니그림으로그린듯한부패교단에서성자가되었다주변에사망플래그밖에없다누가좀살려줘,판타지퓨전
최강의소환령이되었다,살성최강의소환령이되다나는기억을잃은채로만년동안공허를떠돌고있다그놈에게검성이란칭호는사치야사람죽이는데는도가텄으니살성이라고하자어둠만존재하는그곳에서간신히되찾은기억은살성이란저주어린이름뿐모든것을포기하려했을때소환의부름이전해졌습니다마침내기회가찾아왔다부름에응하여자신의소환사를최종승리시킨이는전능한힘에의해서원하는것을이룰수있습니다소환의부름에응하시겠습니까모든걸뒤집을수있는기회가,퓨전판타지
