titles,intros,genres
선독점청해진주식회사,혼란스러운당나라중기장보고의몸으로깨어났다,대체역사
선독점미친빌런이정신을되찾음,미쳤었던재앙급빌런의회귀,판타지현대판타지
선독점동창의절정고수,복수를향해다가가는동창의대당두원수는해방삼위의군사를몰아조선을치려한다,무협대체역사
선독점내스텟이너무많음,서진은냄새를맡을수있다운의냄새를뭔가냄새가나운빨망겜도그에겐그저운빨갓겜일뿐이다,퓨전게임
나혼자세이브모드,까짓거한번해보지뭐될때까지하면되잖아,판타지현대판타지
선독점급헌터는세계수를심는다,멸망한세상에서지구로돌아온귀환자급헌터가되어세계수를심는다,판타지현대판타지
선독점회차의사는성공한다,금수저와이프에게이혼당한의사회귀트럭에치여인생회차를시작하다,판타지현대판타지
필스타인가가주의회귀,로제스타의황제인내가어째서자네를두려워하고자네를시기해야하는거지필스타인가문의가주이자어쌔신마스터인로안은타락한황제에그베르트의배신으로비참한최후를맞이하게된다마지막순간연인에밀리아가선물해준목걸이가빛을발한다그리고년전의과거로돌아온로안은아버지윌리안을비롯한소중한이들과차례대로재회하게되고다시한번더살아갈기회를얻은그는이전의삶과달리소중한것들모두를지키겠노라고결심한다전부바꿔버리겠어,퓨전판타지
선독점방출새로운시작,방출과함께일어난기적이불러온새로운미래,스포츠현대판타지
선독점이세계에서성자로살아남기,정신차리고보니그림으로그린듯한부패교단에서성자가되었다주변에사망플래그밖에없다누가좀살려줘,판타지퓨전
최강의소환령이되었다,살성최강의소환령이되다나는기억을잃은채로만년동안공허를떠돌고있다그놈에게검성이란칭호는사치야사람죽이는데는도가텄으니살성이라고하자어둠만존재하는그곳에서간신히되찾은기억은살성이란저주어린이름뿐모든것을포기하려했을때소환의부름이전해졌습니다마침내기회가찾아왔다부름에응하여자신의소환사를최종승리시킨이는전능한힘에의해서원하는것을이룰수있습니다소환의부름에응하시겠습니까모든걸뒤집을수있는기회가,퓨전판타지
선독점피칭마스터,백억을벌고은퇴하는게꿈이던불펜투수구병태에게어느날부터간헐적두통을동반한기시감이찾아온다그것은미래시를통해여자와의악연들을피해종손보존을하려는조상님의은덕때문이었음을깨닫고그때마다살아생전그를지극히사랑했던할아버지의현몽으로구병태의신체적약점이하나둘없어지면서강해져가는데어느덧그의목표는피칭마스터가되어메이저리그사상가장위대한투수로불리우는것으로바뀌었다과연그의꿈은순탄하게이루어질수있을까,스포츠드라마
선독점무명배우성우되다,서러웠던무명배우의시절어렸을적꿈이었던성우로새로운인생을살아간다,현대판타지
선독점시체로시작하는중세판타,갑자기책속에빙의했다더럽고위험한중세풍다크판타지여행기,판타지퓨전
선독점기사가문셋째로살아가는법,현대인이었던나는시골의한미한기사가문셋째아들로환생했다그리고년이지났다이제나는물려받을작위도영지도없이홀로세상으로나아가야한다,판타지퓨전
선독점천재의사의인생회차,수술에미친천재의사가있었다회차엔주변을돌아보며살겠어,현대판타지
선독점베르사유의이방인,내가프랑스제국의황제루이세다,대체역사퓨전
선독점마력은없지만아카데미에,자고일어났더니게임속이다그것도남들다가진마력도없는무능력자근데생각보다할만한데,퓨전현대판타지
악역이여주인공을구입했다,소설속잘나가는악역으로빙의했다그래서막나가련다,판타지
선독점화력조선,눈떠보니조선사람이된재민그런데북정이라고요,대체역사
선독점음악천재가돌아왔다,이제동굴에틀어박혀있는건그만두려고작곡가,현대판타지판타지
귀신들린예고천재,애매한재능은저주다당신이재능이있고그재능에시간을투자해야하는길로들어섰다면그때부터당신은똑같은시간으로더앞서가는이들과겨루어야하고그과정에서당신이천재가아님을알게된다나김리듬도그랬다우리학교의망령과만나기전까지는당신은대체누구죠네구제불능을구원하러나타난귀신이다그렇게전설이시작되었다,판타지현대판타지
나는아빠다,모든것을지키고싶었던최고의요원최악의아빠최민혁제발이혼만은가족을되찾고세상을구하기위해오늘도달린다,판타지현대판타지
